date,campaign,channel,region,impressions,clicks,spend,leads,mqls,sqls,opportunities,deals,revenue
2023-01-01,Spring Launch 2023,Email,North America,22193,3463,2036.12,513,389,264,161,33,43799.04
2023-01-01,Spring Launch 2023,Email,EMEA,20297,2325,1015.95,396,252,185,85,30,42463.95
2023-01-01,Spring Launch 2023,Email,APAC,23028,3331,1548.94,508,329,167,112,31,39768.68
2023-01-01,Spring Launch 2023,Email,LATAM,16311,2530,1344.68,400,205,122,63,17,18292.74
2023-01-01,Spring Launch 2023,Paid Search,North America,35747,2728,4970.51,354,254,185,78,23,30615.89
2023-01-01,Spring Launch 2023,Paid Search,EMEA,35804,2443,3067.93,318,231,154,97,33,41760.74
2023-01-01,Spring Launch 2023,Paid Search,APAC,31990,2701,4114.77,288,150,88,39,18,22492.54
2023-01-01,Spring Launch 2023,Paid Search,LATAM,28660,2400,2372.98,279,207,156,62,21,18734.31
2023-01-01,Spring Launch 2023,Paid Social,North America,42473,1662,1035.29,83,48,28,11,4,4941.84
2023-01-01,Spring Launch 2023,Paid Social,EMEA,34778,1049,688.8,57,34,23,13,4,4974.51
2023-01-01,Spring Launch 2023,Paid Social,APAC,34855,585,644.59,31,19,14,6,1,1217.04
2023-01-01,Spring Launch 2023,Paid Social,LATAM,25311,323,295.1,17,10,6,3,1,1113.04
2023-01-01,Spring Launch 2023,Organic Search,North America,38298,773,88.87,78,55,38,17,7,10715.5
2023-01-01,Spring Launch 2023,Organic Search,EMEA,31229,929,113.57,88,67,46,29,10,9716.72
2023-01-01,Spring Launch 2023,Organic Search,APAC,29356,1661,224.42,133,103,64,44,21,19681.64
2023-01-01,Spring Launch 2023,Organic Search,LATAM,21715,518,41.11,61,33,21,13,5,5395.42
2023-01-01,Spring Launch 2023,Referral,North America,14642,1156,303.79,249,183,140,70,21,27658.0
2023-01-01,Spring Launch 2023,Referral,EMEA,10544,502,159.55,101,73,41,24,5,7142.04
2023-01-01,Spring Launch 2023,Referral,APAC,9088,406,127.64,65,51,38,23,7,8044.44
2023-01-01,Spring Launch 2023,Referral,LATAM,6075,395,95.69,71,43,31,12,2,1611.14
2023-01-01,Brand Awareness 2023,Email,North America,23879,2814,1526.86,533,273,167,98,34,39687.2
2023-01-01,Brand Awareness 2023,Email,EMEA,21029,3264,908.42,598,467,287,197,92,118481.58
2023-01-01,Brand Awareness 2023,Email,APAC,13368,1410,735.16,215,152,104,68,28,36173.15
2023-01-01,Brand Awareness 2023,Email,LATAM,13265,1455,585.06,254,184,133,57,26,20076.2
2023-01-01,Brand Awareness 2023,Paid Search,North America,59675,2933,5071.31,370,234,137,68,27,31999.15
2023-01-01,Brand Awareness 2023,Paid Search,EMEA,41188,3429,6063.91,454,311,164,69,28,40140.44
2023-01-01,Brand Awareness 2023,Paid Search,APAC,33284,2621,2213.58,298,156,114,64,20,17766.46
2023-01-01,Brand Awareness 2023,Paid Search,LATAM,21596,1489,2919.69,169,98,74,34,16,18388.78
2023-01-01,Brand Awareness 2023,Paid Social,North America,31259,803,893.11,39,26,17,11,2,2623.54
2023-01-01,Brand Awareness 2023,Paid Social,EMEA,28450,782,882.68,46,32,21,10,4,5233.38
2023-01-01,Brand Awareness 2023,Paid Social,APAC,33643,1210,1299.17,57,42,33,14,5,5216.01
